description,Measuring,Plating,Smoking,Toasting,Microwaving,Air Frying,Double Boiler,Bain Marie,Reducing,Water Bathing,Deglazing,Caramelising,Poaching,Simmering,Boiling,Steaming,Stir Frying,Deep Frying,Flambing,Braising,Searing,Sauteeing,Grilling,Pan Frying,Grating,Baking,Roasting,Squeezing,Mashing,Rehidrating,Drying,Kneading,Tenderizing,Whisking,Mixing,Blending,Refrigerating,Pickling,Curing,Freezing,Infusing,Marinating,Seasoning,Salting,Slicing,Chopping Fruits,Chopping Mushroom,Chopping Herbs,Mincing,Batonnet,Dicing,Roughly Chopping
"Slowly pour in around one-third of the porcini stock, and the porcini mushrooms, allowing the rice to absorb the stock before adding more. Repeat until most of the stock has been absorbed (this should take 15�20 minutes).",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Combine the chickpeas, lemon juice, garlic, cumin, salt, tahini, and water in a food processor, and blend to a creamy pur�e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Add the drained pasta and chopped tomatoes to the roasting tin and mix well. Scatter over the remaining sage, feta and breadcrumbs and bake for a further 30 minutes, or until golden and bubbling. Serve hot. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bring a large pan of salted water to the boil, add the pasta and cook for 10 minutes, or according to the packet instructions. Drain well. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Add the crushed garlic and half of the cumin seeds and cook for another minute. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transfer to a mortar and pestle and grind to a coarse powder. Mix the remaining ingredients with a fork, or small whisk, until well combined.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Put the milk, water and sugar in a small saucepan and heat very gently, stirring constantly, for just a few seconds until the liquid is lukewarm and the sugar has dissolved. Remove the pan from the heat and pour the mixture into a bowl. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For the lamb, heat the butter in a large frying pan over a medium heat. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toast the cumin seeds, fennel seeds and black peppercorns in a dry frying pan on a low heat, for a couple of minutes, until fragrant.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Add more lemon juice, garlic, cumin or salt to taste. Turn out into a dinner plate, and make smooth with the back of a spoon. Drizzle with extra virgin olive oil and scatter with the reserved chickpeas. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
