words,frequency,relative_frequency,type
minute,15791,3.144364794902429,others
add,14922,2.971326164874552,others
heat,10553,2.101354042214257,others
�,10001,1.9914376742333733,others
cook,9668,1.9251294305057747,others
pan,8024,1.5977698128235762,tools
stir,7522,1.4978096375945837,techniques
bowl,6758,1.345679012345679,tools
oil,6647,1.3235762644364795,ingredients
serve,6166,1.2277976901632817,others
place,5957,1.1861808044603743,others
salt,5886,1.1720430107526882,ingredients
oven,5777,1.1503385105535644,tools
water,5418,1.0788530465949822,techniques
mixture,5328,1.060931899641577,others
large,4967,0.9890481879729192,others
fry,4900,0.9757068896853843,tools
leave,4562,0.9084030266825965,others
pepper,4518,0.899641577060932,ingredients
mix,4244,0.8450816407805655,techniques
remove,4080,0.8124253285543608,others
bake,3807,0.7580645161290323,ingredients
sauce,3666,0.7299880525686977,ingredients
butter,3661,0.7289924332935086,ingredients
onion,3624,0.7216248506571087,ingredients
brown,3504,0.6977299880525687,ingredients
season,3502,0.697331740342493,techniques
egg,3501,0.6971326164874552,ingredients
sugar,3500,0.6969334926324173,ingredients
set,3455,0.6879729191557149,others
cover,3327,0.6624850657108722,others
pour,3189,0.6350059737156512,others
2,3175,0.6322182397451215,others
tin,3021,0.6015531660692951,others
preheat,3008,0.5989645559538033,others
gas,2987,0.5947829549980087,others
flour,2940,0.5854241338112306,ingredients
boil,2926,0.5826363998407009,techniques
cool,2925,0.5824372759856631,others
medium,2914,0.5802469135802469,ingredients
simmer,2855,0.5684986061330147,techniques
bring,2842,0.5659099960175229,others
spoon,2828,0.5631222620469932,tools
3,2796,0.5567502986857825,others
saucepan,2644,0.5264834727200318,tools
5,2616,0.5209080047789725,others
garlic,2614,0.5205097570688969,ingredients
aside,2610,0.5197132616487455,others
chicken,2566,0.5109518120270808,ingredients
remain,2549,0.5075667064914376,others
golden,2531,0.5039824771007567,others
4,2468,0.49143767423337315,others
10,2460,0.48984468339307047,others
hot,2437,0.48526483472720033,others
half,2379,0.47371565113500597,others
tomato,2361,0.470131421744325,ingredients
turn,2361,0.470131421744325,others
little,2323,0.4625647152528873,others
tray,2283,0.45459976105137395,tools
1,2242,0.4464356829948228,others
whisk,2239,0.44583831142970926,tools
cream,2235,0.44504181600955794,ingredients
sprinkle,2199,0.4378733572281959,others
dough,2178,0.4336917562724014,others
potato,2148,0.42771804062126645,ingredients
fan,2101,0.4183592194344882,others
slice,2082,0.4145758661887694,ingredients
small,2065,0.41119076065312626,others
juice,2040,0.4062126642771804,others
hour,2012,0.40063719633612105,others
drain,1927,0.38371166865790524,others
gently,1914,0.3811230585424134,others
cake,1907,0.37972919155714857,others
smooth,1860,0.37037037037037035,others
cut,1853,0.3689765033851055,tools
warm,1824,0.3632019115890084,others
 ,1820,0.362405416168857,others
milk,1789,0.3562325766626842,ingredients
dish,1731,0.34468339307048984,tools
plate,1720,0.3424930306650737,techniques
6,1710,0.34050179211469533,others
