words,frequency,relative_frequency,type
oil,6647,1.3235762644364795,ingredients
salt,5886,1.1720430107526882,ingredients
pepper,4518,0.899641577060932,ingredients
bake,3807,0.7580645161290323,ingredients
sauce,3666,0.7299880525686977,ingredients
butter,3661,0.7289924332935086,ingredients
onion,3624,0.7216248506571087,ingredients
brown,3504,0.6977299880525687,ingredients
egg,3501,0.6971326164874552,ingredients
sugar,3500,0.6969334926324173,ingredients
flour,2940,0.5854241338112306,ingredients
medium,2914,0.5802469135802469,ingredients
garlic,2614,0.5205097570688969,ingredients
chicken,2566,0.5109518120270808,ingredients
tomato,2361,0.470131421744325,ingredients
cream,2235,0.44504181600955794,ingredients
potato,2148,0.42771804062126645,ingredients
slice,2082,0.4145758661887694,ingredients
milk,1789,0.3562325766626842,ingredients
vegetable,1611,0.3207885304659498,ingredients
lemon,1566,0.3118279569892473,ingredients
chilli,1527,0.3040621266427718,ingredients
stock,1480,0.2947033054559936,ingredients
black,1460,0.29072082835523694,ingredients
olive,1445,0.2877339705296695,ingredients
pastry,1437,0.2861409796893668,ingredients
rice,1405,0.2797690163281561,ingredients
dry,1280,0.2548785344484269,ingredients
chop,1199,0.2387495021903624,ingredients
cheese,1177,0.23436877737953007,ingredients
pasta,1101,0.21923536439665472,ingredients
chocolate,1066,0.21226602947033055,ingredients
bean,1032,0.2054958183990442,ingredients
coriander,986,0.19633612106730386,ingredients
powder,971,0.19334926324173635,ingredients
seed,945,0.1881720430107527,ingredients
ice,924,0.18399044205495818,ingredients
paste,901,0.17941059338908802,ingredients
salad,828,0.16487455197132617,ingredients
fish,805,0.160294703305456,ingredients
beef,795,0.15830346475507767,ingredients
white,790,0.1573078454798885,ingredients
ginger,783,0.15591397849462366,ingredients
bread,746,0.14854639585822382,ingredients
breadcrumb,729,0.14516129032258066,ingredients
apple,696,0.13859020310633213,ingredients
sheet,685,0.13639984070091596,ingredients
parsley,672,0.13381123058542413,ingredients
carrot,666,0.13261648745519714,ingredients
mushroom,657,0.13082437275985664,ingredients
vinegar,647,0.12883313420947828,ingredients
sausage,642,0.12783751493428913,ingredients
wine,639,0.12724014336917563,ingredients
thyme,630,0.12544802867383512,ingredients
pork,626,0.12465153325368379,ingredients
red,611,0.12166467542811629,ingredients
cooking,604,0.12027080844285146,ingredients
heavy,577,0.11489446435682994,ingredients
aubergine,558,0.1111111111111111,ingredients
parmesan,538,0.10712863401035444,ingredients
curry,533,0.10613301473516527,ingredients
vanilla,510,0.1015531660692951,ingredients
green,507,0.1009557945041816,ingredients
cinnamon,506,0.10075667064914377,ingredients
mustard,497,0.09896455595380327,ingredients
coconut,478,0.09518120270808443,ingredients
spinach,476,0.09478295499800876,ingredients
cumin,452,0.09000398247710076,ingredients
herb,450,0.08960573476702509,ingredients
chickpea,434,0.08641975308641975,ingredients
ground,420,0.08363201911589008,ingredients
light,410,0.08164078056551174,ingredients
cube,398,0.07925129430505774,ingredients
basil,395,0.07865392273994425,ingredients
flake,388,0.07726005575467941,ingredients
salmon,380,0.07566706491437675,ingredients
lentil,373,0.07427319792911191,ingredients
fresh,363,0.07228195937873358,ingredients
soy,363,0.07228195937873358,ingredients
jam,362,0.07208283552369574,ingredients
pea,361,0.07188371166865791,ingredients
mint,361,0.07188371166865791,ingredients
