words,frequency,relative_frequency,type
stir,7522,1.4978096375945837,techniques
water,5418,1.0788530465949822,techniques
mix,4244,0.8450816407805655,techniques
season,3502,0.697331740342493,techniques
boil,2926,0.5826363998407009,techniques
simmer,2855,0.5684986061330147,techniques
plate,1720,0.3424930306650737,techniques
reduce,1493,0.2972919155714855,techniques
frying,1175,0.2339705296694544,techniques
blend,901,0.17941059338908802,techniques
deep,839,0.16706491437674234,techniques
roast,728,0.1449621664675428,techniques
grill,717,0.14277180406212664,techniques
mash,642,0.12783751493428913,techniques
squeeze,518,0.10314615690959777,techniques
fruit,498,0.0991636798088411,techniques
toast,448,0.08920748705694942,techniques
mince,429,0.08542413381123058,techniques
knead,427,0.08502588610115491,techniques
steam,331,0.0659099960175229,techniques
roughly,310,0.06172839506172839,techniques
marinate,297,0.05913978494623656,techniques
caramelise,242,0.04818797291915571,techniques
smoke,197,0.03922739944245321,techniques
freeze,180,0.035842293906810034,techniques
refrigerate,168,0.03345280764635603,techniques
poach,142,0.028275587415372363,techniques
infuse,138,0.027479091995221028,techniques
air,121,0.024093986459577856,techniques
pickle,119,0.02369573874950219,techniques
sear,55,0.010951812027080845,techniques
deglaze,40,0.00796495420151334,techniques
dice,38,0.007566706491437674,techniques
marie,25,0.004978096375945838,techniques
bain,22,0.004380724810832338,techniques
grating,16,0.0031859816806053365,techniques
cure,15,0.002986857825567503,techniques
braise,9,0.0017921146953405018,techniques
tenderize,1,0.00019912385503783353,techniques
