words,frequency,relative_frequency,type
pan,8024,1.5977698128235762,tools
bowl,6758,1.345679012345679,tools
oven,5777,1.1503385105535644,tools
fry,4900,0.9757068896853843,tools
spoon,2828,0.5631222620469932,tools
saucepan,2644,0.5264834727200318,tools
tray,2283,0.45459976105137395,tools
whisk,2239,0.44583831142970926,tools
cut,1853,0.3689765033851055,tools
dish,1731,0.34468339307048984,tools
paper,1665,0.33154121863799285,tools
roll,1515,0.3016726403823178,tools
fridge,1310,0.2608522500995619,tools
food,1111,0.22122660294703306,tools
processor,1018,0.20270808442851454,tools
foil,772,0.15372361608920748,tools
knife,757,0.15073675826364,tools
film,698,0.13898845081640782,tools
fork,573,0.11409796893667862,tools
ovenproof,568,0.11310234966148945,tools
blender,466,0.09279171644763043,tools
cle,458,0.09119872560732775,tools
parchment,379,0.0754679410593389,tools
wok,361,0.07188371166865791,tools
slotted,348,0.06929510155316607,tools
spatula,303,0.06033452807646356,tools
pin,236,0.04699322978892871,tools
microwave,230,0.04579848665870171,tools
glass,227,0.045201115093588214,tools
container,214,0.04261250497809638,tools
freezer,210,0.04181600955794504,tools
board,206,0.04101951413779371,tools
colander,199,0.03962564715252887,tools
measure,193,0.03843090402230187,tools
pot,179,0.0356431700517722,tools
tong,108,0.021505376344086023,tools
thermometer,86,0.017124651533253685,tools
mug,46,0.009159697331740343,tools
serrate,36,0.007168458781362007,tools
stove,35,0.006969334926324173,tools
peeler,25,0.004978096375945838,tools
scale,21,0.004181600955794504,tools
grater,17,0.0033851055356431702,tools
toaster,4,0.0007964954201513341,tools
